alpha,T,N,t_escape,t_centroid,mu_escape,phi_1mu,Dv_retrieval,Dv_prebarrier,Dv_postbarrier,Dv_centroid
0.22,0.80,45,7592,8424,10706,0.5679,2.9033e-05,NaN,1.0667e-03,3.5549e-03
0.22,0.80,45,4616,4820,869,0.5581,3.8374e-05,NaN,1.2740e-02,2.3845e-04
0.22,0.80,45,2728,7428,6286,0.6040,6.6759e-05,NaN,7.1423e-04,3.1845e-03
0.22,0.80,45,7100,7304,17714,0.5425,2.6318e-05,NaN,2.4240e-02,1.6546e-03
0.22,0.80,45,7388,7596,7179,0.5542,2.6674e-05,NaN,1.6005e-02,1.1235e-03
0.22,0.80,45,816,1020,8526,0.6284,1.9679e-04,NaN,1.6630e-02,1.9312e-03
0.22,0.80,45,748,952,7057,0.5610,1.9505e-04,NaN,6.4990e-04,6.1802e-04
0.22,0.80,45,2568,7740,232,0.5337,6.1688e-05,NaN,1.6695e-03,2.0584e-04
0.22,0.80,45,120,-1,5122,0.6162,1.5599e-03,NaN,1.2217e-04,NaN
0.22,0.80,45,7904,-1,12430,0.5122,2.6394e-05,NaN,1.6616e-03,NaN
0.22,0.80,45,6780,9212,14952,0.6104,4.3441e-05,NaN,6.6506e-04,5.3431e-04
0.22,0.80,45,3024,3416,14273,0.5596,6.1287e-05,NaN,3.4475e-03,6.0936e-05
0.22,0.80,45,2108,4188,2215,0.5679,8.8494e-05,NaN,6.8944e-04,1.3035e-03
0.22,0.80,45,1716,1920,15848,0.5835,1.0681e-04,NaN,1.7775e-02,1.0938e-03
0.22,0.80,45,8704,-1,5277,0.5537,3.1033e-05,NaN,2.2715e-03,NaN
0.22,0.80,45,7100,-1,12591,0.4956,2.7301e-05,NaN,2.9150e-04,NaN
0.22,0.80,45,2404,-1,5411,0.5894,8.1614e-05,NaN,3.5987e-04,NaN
0.22,0.80,45,4740,-1,13963,0.5186,4.0401e-05,NaN,1.7304e-04,NaN
0.22,0.80,45,248,2384,8899,0.5796,6.5977e-04,NaN,1.2475e-03,2.2370e-03
0.22,0.80,45,9716,-1,6520,0.5571,2.6307e-05,NaN,3.2603e-03,NaN
0.22,0.80,45,1748,9604,6944,0.5229,9.9551e-05,NaN,1.7280e-04,9.1530e-04
0.22,0.80,45,7136,-1,9826,0.5137,3.1550e-05,NaN,3.1622e-04,NaN
0.22,0.80,45,2348,2552,13746,0.5918,6.3735e-05,NaN,2.5518e-02,3.5418e-03
0.22,0.80,45,76,3908,19416,0.5718,2.5169e-03,NaN,6.0382e-04,7.1619e-05
0.22,0.80,45,732,988,15350,0.6450,2.7156e-04,NaN,3.5513e-02,3.8705e-03
0.22,0.80,45,1088,9840,13916,0.5068,1.3827e-04,NaN,1.4754e-04,2.2056e-03
0.22,0.80,45,6244,-1,3731,0.5444,3.0798e-05,NaN,4.3361e-04,NaN
0.22,0.80,45,7272,-1,19684,0.5596,3.1283e-05,NaN,3.5687e-04,NaN
0.22,0.80,45,88,1104,8206,0.6582,2.0289e-03,NaN,3.4183e-03,6.6315e-03
0.22,0.80,45,6532,-1,19862,0.5464,3.2585e-05,NaN,6.9133e-04,NaN
0.22,0.80,45,2996,-1,9544,0.5327,6.7356e-05,NaN,1.4463e-04,NaN
0.22,0.80,45,6808,-1,2378,0.5308,3.0777e-05,NaN,3.0654e-04,NaN
0.22,0.80,45,1420,-1,4769,0.5776,1.5215e-04,NaN,2.3399e-04,NaN
0.22,0.80,45,408,1516,10123,0.6113,4.9553e-04,NaN,1.4236e-03,1.6022e-03
0.22,0.80,45,2192,-1,8367,0.5117,7.5696e-05,NaN,1.2166e-04,NaN
0.22,0.80,45,8328,9980,19316,0.5874,3.2210e-05,NaN,8.6309e-04,4.0916e-02
0.22,0.80,45,6900,7788,16490,0.5093,3.3620e-05,NaN,9.7388e-04,1.6873e-04
0.22,0.80,45,1916,2688,14971,0.6328,1.1521e-04,NaN,2.0615e-03,1.1887e-03
0.22,0.80,45,1872,-1,4597,0.5425,7.4326e-05,NaN,1.2052e-04,NaN
0.22,0.80,45,2916,4444,16036,0.5283,6.3675e-05,NaN,8.9467e-04,3.0221e-03
0.22,0.80,45,1588,-1,11710,0.5249,7.5420e-05,NaN,1.0560e-04,NaN
0.22,0.80,45,4044,-1,2437,0.5479,4.9350e-05,NaN,4.1957e-04,NaN
0.22,0.80,45,9780,-1,6565,0.4407,2.1461e-05,NaN,1.4169e-02,NaN
0.22,0.80,45,6720,-1,14020,0.5112,2.7571e-05,NaN,1.4114e-03,NaN
0.22,0.80,45,5632,-1,5769,0.5918,3.6517e-05,NaN,1.6335e-03,NaN
